V1,V2,r,pval,value_type,FDR,drug,n_samples
ADHD-Demontis,syn_as_aggressive,0.05429208900554393,0.3196465825725734,"corrected for age, sex, and interaction",0.6385621906325227,methylphenidate,338
ADHD-Demontis,syn_as_anxdep,0.1019704418571536,0.061117721833444216,"corrected for age, sex, and interaction",0.33029501454387794,methylphenidate,338
ADHD-Demontis,syn_as_attention,0.10053795327897293,0.06486306614865445,"corrected for age, sex, and interaction",0.33029501454387794,methylphenidate,338
ADHD-Demontis,syn_as_external,0.05317550304248698,0.329715118039015,"corrected for age, sex, and interaction",0.6385621906325227,methylphenidate,338
ADHD-Demontis,syn_as_internal,0.10670249189344731,0.04999190600198977,"corrected for age, sex, and interaction",0.3186984007626848,methylphenidate,338
ADHD-Demontis,syn_as_rulebreak,0.027096867724409057,0.6196012716339885,"corrected for age, sex, and interaction",0.8315701277193003,methylphenidate,338
ADHD-Demontis,syn_as_social,0.13421469979474654,0.013528333758749289,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
ADHD-Demontis,syn_as_somatic,0.02214774861677597,0.6849463173781567,"corrected for age, sex, and interaction",0.8644045012158541,methylphenidate,338
ADHD-Demontis,syn_as_thought,0.07027328933027156,0.197479316803709,"corrected for age, sex, and interaction",0.5020730529803089,methylphenidate,338
ADHD-Demontis,syn_as_totprob,0.09634477365205187,0.07692187167754128,"corrected for age, sex, and interaction",0.33029501454387794,methylphenidate,338
ADHD-Demontis,syn_as_withdep,0.12585413355540787,0.020643693389478246,"corrected for age, sex, and interaction",0.22560607775644084,methylphenidate,338
ADHD-Demontis,syn_raw_aggressive,0.04663367161112511,0.3927512542443117,raw data,0.6592115277241615,methylphenidate,338
ADHD-Demontis,syn_raw_anxdep,0.11015684279041327,0.04298357740242009,raw data,0.3062102699352793,methylphenidate,338
ADHD-Demontis,syn_raw_attention,0.10799191592113254,0.04727172706550897,raw data,0.3062102699352793,methylphenidate,338
ADHD-Demontis,syn_raw_external,0.050390681748066636,0.35570694611811726,raw data,0.6433733109967746,methylphenidate,338
ADHD-Demontis,syn_raw_internal,0.10894551487131943,0.04534067750649351,raw data,0.3062102699352793,methylphenidate,338
ADHD-Demontis,syn_raw_rulebreak,0.03925866453082932,0.4719158426993637,raw data,0.7333174393849652,methylphenidate,338
ADHD-Demontis,syn_raw_social,0.12418593779986081,0.022399810928737107,raw data,0.26434541263405115,methylphenidate,338
ADHD-Demontis,syn_raw_somatic,0.033700919595131544,0.5369287056499128,raw data,0.7499413548936932,methylphenidate,338
ADHD-Demontis,syn_raw_thought,0.094373725793577,0.08318797619677065,raw data,0.3816604845108238,methylphenidate,338
ADHD-Demontis,syn_raw_totprob,0.09955543220947723,0.06753937062712945,raw data,0.356328403653476,methylphenidate,338
ADHD-Demontis,syn_raw_withdep,0.1211602880396085,0.025916216924906976,raw data,0.26434541263405115,methylphenidate,338
ADHD-Demontis,dsm5_as_adhd,0.09901954553739312,0.0690367877782685,"corrected for age, sex, and interaction",0.33029501454387794,methylphenidate,338
ADHD-Demontis,dsm5_as_anxdisord,0.12216812544609677,0.02469549486778444,"corrected for age, sex, and interaction",0.2518940476514013,methylphenidate,338
ADHD-Demontis,dsm5_as_conduct,0.06820607214022888,0.21102020371193797,"corrected for age, sex, and interaction",0.5207434059342986,methylphenidate,338
ADHD-Demontis,dsm5_as_depress,0.08881583445313179,0.1030945185179819,"corrected for age, sex, and interaction",0.38471856910368857,methylphenidate,338
ADHD-Demontis,dsm5_as_opposit,0.019733240683320774,0.7177388251443706,"corrected for age, sex, and interaction",0.8709015745317744,methylphenidate,338
ADHD-Demontis,dsm5_as_somaticpr,0.0151930920206202,0.7807798449771655,"corrected for age, sex, and interaction",0.8915373312262543,methylphenidate,338
ADHD-Demontis,dsm5_raw_adhd,0.10891497994431984,0.045401469165699204,raw data,0.3062102699352793,methylphenidate,338
ADHD-Demontis,dsm5_raw_anxdisord,0.12300792125509684,0.023716501754707187,raw data,0.26434541263405115,methylphenidate,338
ADHD-Demontis,dsm5_raw_conduct,0.085882427792297,0.1150273995328921,raw data,0.41471811389587643,methylphenidate,338
ADHD-Demontis,dsm5_raw_depress,0.0925745706413086,0.08926104718109817,raw data,0.3870729645949592,methylphenidate,338
ADHD-Demontis,dsm5_raw_opposit,0.024917840664854283,0.6480428841023735,raw data,0.8194261261790343,methylphenidate,338
ADHD-Demontis,dsm5_raw_somaticpr,0.013395093068651494,0.8061742146184327,raw data,0.941562250661223,methylphenidate,338
cog_gFactor,syn_as_aggressive,-0.1145072423480998,0.03535076265943582,"corrected for age, sex, and interaction",0.26663018348567025,methylphenidate,338
cog_gFactor,syn_as_anxdep,-0.09182809267415627,0.09188293689415428,"corrected for age, sex, and interaction",0.3699497196001475,methylphenidate,338
cog_gFactor,syn_as_attention,-0.11374617387508937,0.0365962996941116,"corrected for age, sex, and interaction",0.26663018348567025,methylphenidate,338
cog_gFactor,syn_as_external,-0.1339217914352294,0.01373536599333014,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
cog_gFactor,syn_as_internal,-0.06681942421545128,0.22047008555092162,"corrected for age, sex, and interaction",0.5264366681828108,methylphenidate,338
cog_gFactor,syn_as_rulebreak,-0.13339411937044537,0.014115370199542676,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
cog_gFactor,syn_as_social,-0.1333133199346119,0.014174366234461555,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
cog_gFactor,syn_as_somatic,0.02067005112740108,0.7049500530651462,"corrected for age, sex, and interaction",0.8644045012158541,methylphenidate,338
cog_gFactor,syn_as_thought,-0.05348472039937934,0.32690656972009524,"corrected for age, sex, and interaction",0.6385621906325227,methylphenidate,338
cog_gFactor,syn_as_totprob,-0.1000090277824177,0.06629278240430603,"corrected for age, sex, and interaction",0.33029501454387794,methylphenidate,338
cog_gFactor,syn_as_withdep,-3.44485287005424e-4,0.9949655228525871,"corrected for age, sex, and interaction",0.9949655228525871,methylphenidate,338
cog_gFactor,syn_raw_aggressive,-0.12193967448118782,0.02496776727514427,raw data,0.26434541263405115,methylphenidate,338
cog_gFactor,syn_raw_anxdep,-0.09388208592257538,0.08481344100240529,raw data,0.3816604845108238,methylphenidate,338
cog_gFactor,syn_raw_attention,-0.10558782176035397,0.052447559408637545,raw data,0.3062102699352793,methylphenidate,338
cog_gFactor,syn_raw_external,-0.14225015590685336,0.008821904139540093,raw data,0.26434541263405115,methylphenidate,338
cog_gFactor,syn_raw_internal,-0.06698205332477597,0.21934639743685724,raw data,0.5373641320315885,methylphenidate,338
cog_gFactor,syn_raw_rulebreak,-0.11683167486879444,0.031767343912880275,raw data,0.2859060952159225,methylphenidate,338
cog_gFactor,syn_raw_social,-0.12394794347496776,0.02266060105356238,raw data,0.26434541263405115,methylphenidate,338
cog_gFactor,syn_raw_somatic,0.021767396870733355,0.690074871238679,raw data,0.8583858154432349,methylphenidate,338
cog_gFactor,syn_raw_thought,-0.058755377549559624,0.2814205819355091,raw data,0.6064415357201816,methylphenidate,338
cog_gFactor,syn_raw_totprob,-0.10488925285865341,0.05403710645916693,raw data,0.3062102699352793,methylphenidate,338
cog_gFactor,syn_raw_withdep,0.02014612944862416,0.7120923574755873,raw data,0.8785307494024907,methylphenidate,338
cog_gFactor,dsm5_as_adhd,-0.13178402498939895,0.01533256048396181,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
cog_gFactor,dsm5_as_anxdisord,-0.09010364625323332,0.098175453796286,"corrected for age, sex, and interaction",0.38471856910368857,methylphenidate,338
cog_gFactor,dsm5_as_conduct,-0.1494382574170798,0.005910885084001283,"corrected for age, sex, and interaction",0.1836105085843909,methylphenidate,338
cog_gFactor,dsm5_as_depress,-0.041486162784771914,0.44712567974547146,"corrected for age, sex, and interaction",0.7201076736953382,methylphenidate,338
cog_gFactor,dsm5_as_opposit,-0.0324880521728132,0.5516897020323404,"corrected for age, sex, and interaction",0.7764356243478839,methylphenidate,338
cog_gFactor,dsm5_as_somaticpr,0.04191315675961968,0.4424592649162662,"corrected for age, sex, and interaction",0.7201076736953382,methylphenidate,338
