V1,V2,r,pval,value_type,FDR
methylphenidate,e_raw_correct_go,-0.017116244905186304,0.010431197672784664,raw data,0.07823398254588498
methylphenidate,e_raw_correct_stop,-0.009295452847069957,0.16426854880322384,raw data,0.4693387108663538
methylphenidate,e_raw_stop_doesnot_stop,0.011430524982938239,0.08720250189265166,raw data,0.30777353609171176
methylphenidate,e_raw_no_response_on_go,-6.619535159347732e-4,0.9211029421663366,raw data,0.9868960094639321
methylphenidate,e_as_correct_go,-0.002036394376396087,0.7605985589711839,"corrected for age, sex, and interaction",0.9101002295084206
methylphenidate,e_as_correct_stop,-0.001729576200236468,0.7957994192144833,"corrected for age, sex, and interaction",0.9101002295084206
methylphenidate,e_as_stop_doesnot_stop,0.0027838777672865105,0.677016945056947,"corrected for age, sex, and interaction",0.9101002295084206
methylphenidate,e_as_no_response_on_go,-0.008652844031885534,0.19542306460003256,"corrected for age, sex, and interaction",0.7816922584001302
adderall,e_raw_correct_go,-0.041528165334180356,5.08969977275342e-10,raw data,3.053819863652052e-8
adderall,e_raw_correct_stop,-0.01590228043442054,0.017335123077828474,raw data,0.10779222695722002
adderall,e_raw_stop_doesnot_stop,0.01204971281740975,0.07138851811032976,raw data,0.28067588047240355
adderall,e_raw_no_response_on_go,0.0236711493279125,3.966828325343563e-4,raw data,0.005950242488015345
adderall,e_as_correct_go,-0.0319752373475488,1.705592768797004e-6,"corrected for age, sex, and interaction",1.0233556612782024e-4
adderall,e_as_correct_stop,-0.009622040264648598,0.14994477084646207,"corrected for age, sex, and interaction",0.7261087954854103
adderall,e_as_stop_doesnot_stop,0.009450983594038011,0.15732357235517225,"corrected for age, sex, and interaction",0.7261087954854103
adderall,e_as_no_response_on_go,0.021982494530821694,0.0010035918342272687,"corrected for age, sex, and interaction",0.020071836684545374
concerta,e_raw_correct_go,-0.01988897150493422,0.002918707593152048,raw data,0.02501749365558898
concerta,e_raw_correct_stop,0.003605951417660704,0.5895139316717679,raw data,0.7711669945201364
concerta,e_raw_stop_doesnot_stop,0.02311521660431885,5.420529631925408e-4,raw data,0.00650463555831049
concerta,e_raw_no_response_on_go,0.009468138118035319,0.1565713976807861,raw data,0.4693387108663538
concerta,e_as_correct_go,-0.011160615281053079,0.09492850048830093,"corrected for age, sex, and interaction",0.6561644741184555
