V1,V2,r,pval,value_type,FDR,drug,n_samples
ADHD-Demontis,e_as_correct_go,-0.009276242290792271,0.8916808887356007,"corrected for age, sex, and interaction",0.9410387294948294,methylphenidate,218
ADHD-Demontis,e_as_correct_stop,0.010758289735407102,0.8745075467311003,"corrected for age, sex, and interaction",0.9410387294948294,methylphenidate,218
ADHD-Demontis,e_as_no_response_on_go,-0.03258297698718796,0.6323348238818096,"corrected for age, sex, and interaction",0.7588017886581715,methylphenidate,218
ADHD-Demontis,e_as_stop_doesnot_stop,-0.05116394900008806,0.452306065282976,"corrected for age, sex, and interaction",0.6493543079254792,methylphenidate,218
ADHD-Demontis,e_raw_correct_go,-0.08960655655665624,0.18747962903128945,raw data,0.5624388870938684,methylphenidate,218
ADHD-Demontis,e_raw_correct_stop,0.02413021273610999,0.7231278351138821,raw data,0.8397613569064438,methylphenidate,218
ADHD-Demontis,e_raw_no_response_on_go,0.0327374125114135,0.6307211473636738,raw data,0.8397613569064438,methylphenidate,218
ADHD-Demontis,e_raw_stop_doesnot_stop,-0.0031536425206108343,0.9630748121306021,raw data,0.9630748121306021,methylphenidate,218
cog_gFactor,e_as_correct_go,-0.07913444904611133,0.2446208558190044,"corrected for age, sex, and interaction",0.5043297716502115,methylphenidate,218
cog_gFactor,e_as_correct_stop,0.1197207223042574,0.07775855514820607,"corrected for age, sex, and interaction",0.31103422059282426,methylphenidate,218
cog_gFactor,e_as_no_response_on_go,0.17282182422393905,0.010579873197545275,"corrected for age, sex, and interaction",0.19043771755581496,methylphenidate,218
cog_gFactor,e_as_stop_doesnot_stop,0.06709465935795933,0.3241051123283589,"corrected for age, sex, and interaction",0.5556087639914724,methylphenidate,218
cog_gFactor,e_raw_correct_go,-0.052015747860691075,0.4448044280868113,raw data,0.7051017061124853,methylphenidate,218
cog_gFactor,e_raw_correct_stop,0.11411641500218797,0.0928179440112229,raw data,0.43321926795464244,methylphenidate,218
cog_gFactor,e_raw_no_response_on_go,0.10551910438607995,0.12033868554295624,raw data,0.43321926795464244,methylphenidate,218
cog_gFactor,e_raw_stop_doesnot_stop,0.07256016326990522,0.2861591453225065,raw data,0.6268935954025421,methylphenidate,218
cog_matrix,e_as_correct_go,-0.1309729890326403,0.05348287230602655,"corrected for age, sex, and interaction",0.24067292537711948,methylphenidate,218
cog_matrix,e_as_correct_stop,-0.00727933590031933,0.9148987647866398,"corrected for age, sex, and interaction",0.9410387294948294,methylphenidate,218
cog_matrix,e_as_no_response_on_go,0.07205610109873738,0.28952850104402916,"corrected for age, sex, and interaction",0.5211513018792525,methylphenidate,218
cog_matrix,e_as_stop_doesnot_stop,0.048963174675010414,0.47201283652073633,"corrected for age, sex, and interaction",0.6493543079254792,methylphenidate,218
cog_matrix,e_raw_correct_go,-0.09128823995873644,0.179300657710038,raw data,0.5624388870938684,methylphenidate,218
cog_matrix,e_raw_correct_stop,-0.014372392750177564,0.8328898185534488,raw data,0.8847635054040611,methylphenidate,218
cog_matrix,e_raw_no_response_on_go,0.05361583472918334,0.4309050424865015,raw data,0.7051017061124853,methylphenidate,218
cog_matrix,e_raw_stop_doesnot_stop,0.027954621293651886,0.681474154511041,raw data,0.8397613569064438,methylphenidate,218
cog_memory,e_as_correct_go,0.07785336969621856,0.2523662648081455,"corrected for age, sex, and interaction",0.5043297716502115,methylphenidate,218
cog_memory,e_as_correct_stop,0.1848959426780609,0.0061831431643968315,"corrected for age, sex, and interaction",0.19043771755581496,methylphenidate,218
cog_memory,e_as_no_response_on_go,-6.121615121837483e-4,0.9928299117718595,"corrected for age, sex, and interaction",0.9928299117718595,methylphenidate,218
cog_memory,e_as_stop_doesnot_stop,0.07563540119267514,0.26617404614872275,"corrected for age, sex, and interaction",0.5043297716502115,methylphenidate,218
cog_memory,e_raw_correct_go,0.024946611790279762,0.7141623201597782,raw data,0.8397613569064438,methylphenidate,218
cog_memory,e_raw_correct_stop,0.18931251360061485,0.005039447045978029,raw data,0.18142009365520906,methylphenidate,218
cog_memory,e_raw_no_response_on_go,0.0206536044827037,0.7617176460061106,raw data,0.8569323517568744,methylphenidate,218
cog_memory,e_raw_stop_doesnot_stop,0.07109398035245067,0.2960330867178671,raw data,0.6268935954025421,methylphenidate,218
cog_reaction_time,e_as_correct_go,-0.09735450164449584,0.15198269934504327,"corrected for age, sex, and interaction",0.4559480980351298,methylphenidate,218
cog_reaction_time,e_as_correct_stop,0.13917147385268805,0.040069633740291044,"corrected for age, sex, and interaction",0.24041780244174626,methylphenidate,218
cog_reaction_time,e_as_no_response_on_go,0.09860781035850665,0.14675329757062228,"corrected for age, sex, and interaction",0.4559480980351298,methylphenidate,218
cog_reaction_time,e_as_stop_doesnot_stop,0.13109086012666463,0.05326645547467401,"corrected for age, sex, and interaction",0.24067292537711948,methylphenidate,218
cog_reaction_time,e_raw_correct_go,-0.13400288251326153,0.048146243603762295,raw data,0.43321926795464244,methylphenidate,218
cog_reaction_time,e_raw_correct_stop,0.14408063752031353,0.03348650546720422,raw data,0.40183806560645063,methylphenidate,218
cog_reaction_time,e_raw_no_response_on_go,0.10980109799117681,0.10592891037427288,raw data,0.43321926795464244,methylphenidate,218
cog_reaction_time,e_raw_stop_doesnot_stop,0.15447571291821882,0.02252447531521784,raw data,0.40183806560645063,methylphenidate,218
cog_symbol_digit,e_as_correct_go,-0.08945258182083538,0.18824194425990548,"corrected for age, sex, and interaction",0.473502808270122,methylphenidate,218
cog_symbol_digit,e_as_correct_stop,0.10840471115330351,0.11047058659866504,"corrected for age, sex, and interaction",0.39769411175519415,methylphenidate,218
cog_symbol_digit,e_as_no_response_on_go,0.14790042211345764,0.029021834572831917,"corrected for age, sex, and interaction",0.20895720892438982,methylphenidate,218
cog_symbol_digit,e_as_stop_doesnot_stop,0.022056971097521635,0.7460634287623251,"corrected for age, sex, and interaction",0.8521161116921496,methylphenidate,218
cog_symbol_digit,e_raw_correct_go,-0.08103999295005543,0.23340907021170754,raw data,0.6001947519729622,methylphenidate,218
cog_symbol_digit,e_raw_correct_stop,0.10626472786775853,0.11772546330951394,raw data,0.43321926795464244,methylphenidate,218
cog_symbol_digit,e_raw_no_response_on_go,0.12093799928046077,0.0747641665500316,raw data,0.43321926795464244,methylphenidate,218
cog_symbol_digit,e_raw_stop_doesnot_stop,0.05137037203425121,0.45048164557186565,raw data,0.7051017061124853,methylphenidate,218
cog_tower_rearranging,e_as_correct_go,-0.08351977130532835,0.21936734494448862,"corrected for age, sex, and interaction",0.4935765261250994,methylphenidate,218
cog_tower_rearranging,e_as_correct_stop,0.046079487753441575,0.49853054000874275,"corrected for age, sex, and interaction",0.6493543079254792,methylphenidate,218
cog_tower_rearranging,e_as_no_response_on_go,0.049351105901337504,0.4685053760074509,"corrected for age, sex, and interaction",0.6493543079254792,methylphenidate,218
cog_tower_rearranging,e_as_stop_doesnot_stop,0.02103650679205142,0.7574365437263553,"corrected for age, sex, and interaction",0.8521161116921496,methylphenidate,218
cog_tower_rearranging,e_raw_correct_go,-0.029048575334933557,0.6697280168092103,raw data,0.8397613569064438,methylphenidate,218
cog_tower_rearranging,e_raw_correct_stop,0.03632632579664104,0.5937260376156588,raw data,0.8397613569064438,methylphenidate,218
cog_tower_rearranging,e_raw_no_response_on_go,-0.014135052014545789,0.8356099773260577,raw data,0.8847635054040611,methylphenidate,218
cog_tower_rearranging,e_raw_stop_doesnot_stop,-0.007640342147766237,0.9106954449315225,raw data,0.9367153147867088,methylphenidate,218
cog_trail_making_testB,e_as_correct_go,-0.08765837575122969,0.1972928367792175,"corrected for age, sex, and interaction",0.473502808270122,methylphenidate,218
cog_trail_making_testB,e_as_correct_stop,0.05756576899387703,0.3976846650714534,"corrected for age, sex, and interaction",0.6224629540248836,methylphenidate,218
cog_trail_making_testB,e_as_no_response_on_go,0.14965177160526807,0.027151334450766562,"corrected for age, sex, and interaction",0.20895720892438982,methylphenidate,218
cog_trail_making_testB,e_as_stop_doesnot_stop,0.035920111892096276,0.5978635713963887,"corrected for age, sex, and interaction",0.7421754679403446,methylphenidate,218
cog_trail_making_testB,e_raw_correct_go,-0.06169223409849604,0.36467021374689956,raw data,0.7051017061124853,methylphenidate,218
cog_trail_making_testB,e_raw_correct_stop,0.053110868379016234,0.43526426248128924,raw data,0.7051017061124853,methylphenidate,218
cog_trail_making_testB,e_raw_no_response_on_go,0.10829418014941568,0.11083650769446374,raw data,0.43321926795464244,methylphenidate,218
cog_trail_making_testB,e_raw_stop_doesnot_stop,0.05377503195203966,0.42953597346374917,raw data,0.7051017061124853,methylphenidate,218
cog_verbal_numerical_reasoning,e_as_correct_go,-0.06469508631938142,0.3417484348572568,"corrected for age, sex, and interaction",0.5592247115846021,methylphenidate,218
cog_verbal_numerical_reasoning,e_as_correct_stop,0.04538277034648126,0.505053350608706,"corrected for age, sex, and interaction",0.6493543079254792,methylphenidate,218
cog_verbal_numerical_reasoning,e_as_no_response_on_go,0.15304443209568663,0.023820423513804645,"corrected for age, sex, and interaction",0.20895720892438982,methylphenidate,218
cog_verbal_numerical_reasoning,e_as_stop_doesnot_stop,0.09022943072363084,0.18441892604151677,"corrected for age, sex, and interaction",0.473502808270122,methylphenidate,218
cog_verbal_numerical_reasoning,e_raw_correct_go,-0.027748645071665214,0.6836944982846154,raw data,0.8397613569064438,methylphenidate,218
cog_verbal_numerical_reasoning,e_raw_correct_stop,0.038479948009540035,0.5720107768598623,raw data,0.8397613569064438,methylphenidate,218
cog_verbal_numerical_reasoning,e_raw_no_response_on_go,0.07238375867435558,0.28733530024693765,raw data,0.6268935954025421,methylphenidate,218
cog_verbal_numerical_reasoning,e_raw_stop_doesnot_stop,0.08415650079863166,0.21586111569856659,raw data,0.5977692434729536,methylphenidate,218
ADHD-Demontis,e_as_correct_go,-0.01612403569350732,0.8463033253621253,"corrected for age, sex, and interaction",0.9177162818259321,adderall,147
ADHD-Demontis,e_as_correct_stop,0.03856470392673915,0.6428245971496542,"corrected for age, sex, and interaction",0.9177162818259321,adderall,147
