sex,drug,avg,sd,min,max,count,measure,data
Female,amphetamine,137.13392857142858,19.437817480140314,108,185,48,SST,ABCD
Female,atomoxetine,136.19354838709677,20.645288978099757,108,178,13,SST,ABCD
Female,clonidine,139.0408163265306,20.483691870682424,107,182,20,SST,ABCD
Female,concerta,138.86458333333334,20.18525766971981,107,185,40,SST,ABCD
Female,guanfacine,137.17857142857142,19.2515474163008,108,185,25,SST,ABCD
Female,lisdexamfetamine,135.15277777777777,19.49695514127546,108,185,31,SST,ABCD
Female,methylphenidate,136.3227848101266,18.894028641612838,107,186,70,SST,ABCD
Male,amphetamine,138.27906976744185,19.893286020747922,108,186,106,SST,ABCD
Male,atomoxetine,137.81690140845072,21.020608839323735,108,186,29,SST,ABCD
Male,clonidine,138.65853658536585,19.15577436855892,108,186,35,SST,ABCD
Male,concerta,140.0557768924303,20.020711188517353,107,186,103,SST,ABCD
Male,guanfacine,139.28494623655914,20.086017437102367,108,183,77,SST,ABCD
Male,lisdexamfetamine,140.4267782426778,21.24907003592848,107,188,95,SST,ABCD
Male,methylphenidate,138.05026455026456,19.287717190289424,107,186,161,SST,ABCD
